index,input,identity_level,status,parsed_brand,parsed_model,queries,provider_attempts,provider_outcomes,service_seconds,harness_seconds,over_75_seconds,search_status,candidate_counts,accepted_official_pages,exact_main_product_pages,content_verified_exact_pages,support_pages,documents,exact_support_pages,exact_documents,fetch_statuses,fetch_http_403,fetch_timeout,js_shells,loaded_source_identity_or_scope_unproved,no_accepted_candidate,no_first_party_candidate,no_page_candidate_checked,load_limited,error
29,Epson EcoTank L6270,sku,PARTIAL,Epson,EcoTank L6270,6,26,"{""success"": 4, ""capped"": 5, ""timeout"": 3, ""blocked"": 5, ""circuit_open"": 5, ""low_value"": 4}",104.455,104.474,True,partial,"{""provider_raw"": 181, ""collected"": 155, ""normalized"": 155, ""unique"": 55, ""duplicates"": 100, ""accepted"": 21, ""rejected"": 34, ""official"": 0, ""dealer"": 0, ""secondary"": 21, ""documents"": 0}",0,0,0,0,0,0,0,"{""budget_exhausted"": 3}",0,0,0,0,False,True,False,True,
30,Canon CanoScan LiDE 400,model,PARTIAL,Canon,CanoScan LiDE 400,6,25,"{""timeout"": 3, ""empty"": 2, ""blocked"": 3, ""success"": 5, ""circuit_open"": 12}",82.712,82.73,True,partial,"{""provider_raw"": 270, ""collected"": 270, ""normalized"": 270, ""unique"": 42, ""duplicates"": 228, ""accepted"": 33, ""rejected"": 9, ""official"": 0, ""dealer"": 0, ""secondary"": 33, ""documents"": 0}",0,0,0,0,0,0,0,"{""budget_exhausted"": 4}",0,0,0,0,False,True,False,True,
31,WD My Passport 5TB,family,PARTIAL,WD,My Passport 5TB,8,41,"{""empty"": 10, ""blocked"": 6, ""success"": 8, ""circuit_open"": 11, ""low_value"": 3, ""timeout"": 1, ""capped"": 2}",137.576,137.669,True,partial,"{""provider_raw"": 430, ""collected"": 401, ""normalized"": 401, ""unique"": 110, ""duplicates"": 286, ""accepted"": 30, ""rejected"": 85, ""official"": 0, ""dealer"": 0, ""secondary"": 30, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,False,True,True,False,
32,Crucial T705,family,PARTIAL,Crucial,T705,11,56,"{""success"": 8, ""capped"": 15, ""empty"": 2, ""blocked"": 6, ""circuit_open"": 17, ""low_value"": 5, ""timeout"": 3}",110.443,110.457,True,partial,"{""provider_raw"": 355, ""collected"": 312, ""normalized"": 312, ""unique"": 90, ""duplicates"": 222, ""accepted"": 57, ""rejected"": 33, ""official"": 0, ""dealer"": 0, ""secondary"": 57, ""documents"": 0}",0,0,0,0,0,0,0,"{""budget_exhausted"": 4}",0,0,0,0,False,True,False,True,
33,Corsair RM850x,family,PASS,Corsair,RM850x,3,5,"{""success"": 3, ""blocked"": 1, ""circuit_open"": 1}",53.757,53.772,False,success,"{""provider_raw"": 22, ""collected"": 2, ""normalized"": 2, ""unique"": 2, ""duplicates"": 0, ""accepted"": 2, ""rejected"": 0, ""official"": 1, ""dealer"": 0, ""secondary"": 1, ""documents"": 0}",1,1,1,0,0,0,0,"{""loaded"": 2}",0,0,0,1,False,False,False,False,
34,ASUS TUF Gaming GeForce RTX 5070 Ti,family,FAIL,ASUS,TUF Gaming GeForce RTX 5070 Ti,1,8,"{""timeout"": 4, ""blocked"": 2, ""success"": 2}",77.877,77.896,True,partial,"{""provider_raw"": 176, ""collected"": 100, ""normalized"": 100, ""unique"": 61, ""duplicates"": 39, ""accepted"": 29, ""rejected"": 32, ""official"": 0, ""dealer"": 0, ""secondary"": 29, ""documents"": 0}",0,0,0,0,0,0,0,"{""budget_exhausted"": 4}",0,0,0,0,False,True,False,True,
35,MSI MAG X870 TOMAHAWK WIFI,model,PARTIAL,MSI,MAG X870 TOMAHAWK WIFI,8,34,"{""empty"": 3, ""blocked"": 5, ""success"": 8, ""capped"": 7, ""circuit_open"": 8, ""low_value"": 1, ""timeout"": 2}",146.763,147.286,True,partial,"{""provider_raw"": 326, ""collected"": 316, ""normalized"": 316, ""unique"": 96, ""duplicates"": 198, ""accepted"": 43, ""rejected"": 75, ""official"": 0, ""dealer"": 0, ""secondary"": 43, ""documents"": 0}",0,0,0,0,0,0,0,"{""budget_exhausted"": 4}",0,0,0,0,False,True,False,True,
36,DEWALT DCD805P2T,sku,PARTIAL,DEWALT,DCD805P2T,5,20,"{""timeout"": 4, ""success"": 4, ""circuit_open"": 9, ""blocked"": 3}",86.08,86.234,True,partial,"{""provider_raw"": 81, ""collected"": 45, ""normalized"": 45, ""unique"": 34, ""duplicates"": 11, ""accepted"": 11, ""rejected"": 23, ""official"": 0, ""dealer"": 0, ""secondary"": 11, ""documents"": 0}",0,0,0,0,0,0,0,"{""loaded"": 1}",0,0,0,1,False,True,False,False,
37,Makita GA023GZ,sku,FAIL,Makita,GA023GZ,1,6,"{""empty"": 1, ""timeout"": 3, ""blocked"": 2}",78.495,78.496,True,timeout,"{""provider_raw"": 0, ""collected"": 0, ""normalized"": 0, ""unique"": 0, ""duplicates"": 0, ""accepted"": 0, ""rejected"": 0, ""official"": 0, ""dealer"": 0, ""secondary"": 0, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,True,True,True,False,
38,Milwaukee M18 FHX-502X,sku,FAIL,Milwaukee,M18 FHX-502X,1,2,"{""timeout"": 2}",214.61,214.611,True,timeout,"{""provider_raw"": 0, ""collected"": 0, ""normalized"": 0, ""unique"": 0, ""duplicates"": 0, ""accepted"": 0, ""rejected"": 0, ""official"": 0, ""dealer"": 0, ""secondary"": 0, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,True,True,True,False,
39,Bosch Professional GCM 8 SJL,model,FAIL,Bosch,Professional GCM 8 SJL,1,3,"{""timeout"": 3}",115.442,115.443,True,timeout,"{""provider_raw"": 0, ""collected"": 0, ""normalized"": 0, ""unique"": 0, ""duplicates"": 0, ""accepted"": 0, ""rejected"": 0, ""official"": 0, ""dealer"": 0, ""secondary"": 0, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,True,True,True,False,
40,Einhell TC-PL 750,model,FAIL,Einhell,TC-PL 750,1,2,"{""timeout"": 2}",82.347,82.421,True,timeout,"{""provider_raw"": 0, ""collected"": 0, ""normalized"": 0, ""unique"": 0, ""duplicates"": 0, ""accepted"": 0, ""rejected"": 0, ""official"": 0, ""dealer"": 0, ""secondary"": 0, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,True,True,True,False,
41,STIHL MS 182,model,FAIL,STIHL,MS 182,2,9,"{""success"": 2, ""timeout"": 2, ""blocked"": 2, ""error"": 2, ""low_value"": 1}",314.594,314.597,True,partial,"{""provider_raw"": 96, ""collected"": 21, ""normalized"": 21, ""unique"": 21, ""duplicates"": 0, ""accepted"": 19, ""rejected"": 2, ""official"": 0, ""dealer"": 0, ""secondary"": 19, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,False,True,True,False,
42,Husqvarna 525LK,sku,PARTIAL,Husqvarna,525LK,8,15,"{""success"": 9, ""empty"": 1, ""blocked"": 3, ""low_value"": 1, ""timeout"": 1}",39.398,39.4,False,partial,"{""provider_raw"": 56, ""collected"": 17, ""normalized"": 17, ""unique"": 11, ""duplicates"": 6, ""accepted"": 1, ""rejected"": 10, ""official"": 0, ""dealer"": 0, ""secondary"": 1, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,False,True,True,False,
43,Frostbite Drench 39ML,model,PARTIAL,Frostbite,Drench 39ML,8,49,"{""empty"": 9, ""success"": 5, ""circuit_open"": 19, ""blocked"": 6, ""low_value"": 9, ""timeout"": 1}",36.826,36.828,False,partial,"{""provider_raw"": 48, ""collected"": 32, ""normalized"": 32, ""unique"": 25, ""duplicates"": 6, ""accepted"": 6, ""rejected"": 20, ""official"": 0, ""dealer"": 0, ""secondary"": 6, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,False,True,True,False,
44,Nautilus X Series XL MAX,model,PARTIAL,Nautilus,X Series XL MAX,9,57,"{""empty"": 10, ""success"": 8, ""blocked"": 7, ""low_value"": 10, ""timeout"": 1, ""circuit_open"": 21}",55.44,55.443,False,partial,"{""provider_raw"": 73, ""collected"": 45, ""normalized"": 45, ""unique"": 39, ""duplicates"": 6, ""accepted"": 6, ""rejected"": 33, ""official"": 0, ""dealer"": 0, ""secondary"": 6, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,False,True,True,False,
45,Namazu Bionic 90 N41-90-52,sku,PARTIAL,Namazu,Bionic 90 N41-90-52,8,54,"{""empty"": 7, ""success"": 3, ""capped"": 7, ""blocked"": 5, ""low_value"": 11, ""timeout"": 1, ""circuit_open"": 20}",48.626,48.63,False,partial,"{""provider_raw"": 49, ""collected"": 32, ""normalized"": 32, ""unique"": 29, ""duplicates"": 3, ""accepted"": 9, ""rejected"": 20, ""official"": 0, ""dealer"": 0, ""secondary"": 9, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,False,True,True,False,
46,adidas Ultraboost 5 JH9073,sku,PARTIAL,adidas,Ultraboost 5 JH9073,10,70,"{""empty"": 12, ""success"": 10, ""circuit_open"": 27, ""blocked"": 12, ""low_value"": 8, ""timeout"": 1}",66.848,66.852,False,partial,"{""provider_raw"": 163, ""collected"": 113, ""normalized"": 113, ""unique"": 49, ""duplicates"": 64, ""accepted"": 14, ""rejected"": 35, ""official"": 0, ""dealer"": 0, ""secondary"": 14, ""documents"": 0}",0,0,0,0,0,0,0,"{""unavailable"": 3}",2,1,0,0,False,True,False,True,
47,Nike AeroSwift FN4231-010,sku,PASS,Nike,AeroSwift FN4231-010,3,12,"{""empty"": 3, ""timeout"": 2, ""success"": 3, ""blocked"": 2, ""low_value"": 2}",68.699,68.701,False,partial,"{""provider_raw"": 10, ""collected"": 10, ""normalized"": 10, ""unique"": 10, ""duplicates"": 0, ""accepted"": 6, ""rejected"": 4, ""official"": 1, ""dealer"": 0, ""secondary"": 5, ""documents"": 0}",1,1,1,0,0,0,0,"{""loaded"": 1}",0,0,0,0,False,False,False,False,
48,The North Face Nuptse,family,PARTIAL,The North,Face Nuptse,8,42,"{""empty"": 9, ""success"": 8, ""circuit_open"": 15, ""blocked"": 6, ""low_value"": 3, ""timeout"": 1}",37.842,37.845,False,partial,"{""provider_raw"": 229, ""collected"": 116, ""normalized"": 116, ""unique"": 67, ""duplicates"": 49, ""accepted"": 23, ""rejected"": 44, ""official"": 0, ""dealer"": 0, ""secondary"": 23, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,False,True,True,False,
49,Oral-B iO Series 10,model,PASS,Oral-B,iO Series 10,7,30,"{""success"": 7, ""capped"": 7, ""empty"": 1, ""blocked"": 7, ""low_value"": 1, ""timeout"": 1, ""circuit_open"": 6}",64.05,64.053,False,partial,"{""provider_raw"": 254, ""collected"": 87, ""normalized"": 87, ""unique"": 77, ""duplicates"": 10, ""accepted"": 36, ""rejected"": 41, ""official"": 1, ""dealer"": 0, ""secondary"": 35, ""documents"": 0}",1,1,1,0,0,0,0,"{""loaded"": 4}",0,0,0,3,False,False,False,False,
50,CeraVe Hydrating Facial Cleanser,family,PASS,CeraVe,Hydrating Facial Cleanser,3,13,"{""success"": 3, ""blocked"": 6, ""low_value"": 2, ""timeout"": 1, ""circuit_open"": 1}",27.804,27.805,False,success,"{""provider_raw"": 32, ""collected"": 4, ""normalized"": 4, ""unique"": 4, ""duplicates"": 0, ""accepted"": 4, ""rejected"": 0, ""official"": 1, ""dealer"": 0, ""secondary"": 3, ""documents"": 0}",1,1,1,0,0,0,0,"{""loaded"": 4}",0,0,0,3,False,False,False,False,
