index,input,old_status,old_runtime_seconds,old_over_75,old_candidates_unique,old_queries_attempted,old_provider_calls_executed,old_page_fetches,old_pages_loaded,old_official_pages,old_exact_official_pages,old_accepted_urls,old_support_pages,old_documents,old_net_provider_blocks,old_net_http_403,old_net_http_429,old_net_provider_timeouts,old_provider_other_errors,old_program_faults,old_hard_stop,old_stop_reason,old_stopped_in,old_post_result_cleanup_seconds,new_status,new_runtime_seconds,new_over_75,new_candidates_unique,new_queries_attempted,new_provider_calls_executed,new_page_fetches,new_pages_loaded,new_official_pages,new_exact_official_pages,new_accepted_urls,new_support_pages,new_documents,new_net_provider_blocks,new_net_http_403,new_net_http_429,new_net_provider_timeouts,new_provider_other_errors,new_program_faults,new_hard_stop,new_stop_reason,new_stopped_in,new_post_result_cleanup_seconds,new_accepted_not_in_old,old_accepted_not_in_new
12,Roborock S8 MaxV Ultra,PARTIAL,86.899,True,73,10,21,5,2,0,0,[],0,0,6,0,0,1,0,,False,,{},,PARTIAL,41.616,False,112,10,17,5,5,0,0,[],0,0,1,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.201,,
13,Tefal Ultimate Pure FV9845,PARTIAL,77.252,True,48,9,33,4,0,0,0,[],0,0,12,0,0,2,0,,False,,{},,PARTIAL,46.979,False,108,10,27,4,4,0,0,[],0,0,4,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.253,,
14,Braun MultiQuick 9 MQ9187XLI,FAIL,86.578,True,20,2,11,0,0,0,0,[],0,0,4,0,0,2,0,,False,,{},,PASS,49.379,False,10,3,5,1,1,1,1,['braunhousehold.com/en/p/multiquick-9-multiquick-9-hand-blender-mq-9187xli/hb901-mq9187xli.html?pid=0x22111376'],0,0,0,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.051,braunhousehold.com/en/p/multiquick-9-multiquick-9-hand-blender-mq-9187xli/hb901-mq9187xli.html?pid=0x22111376,
15,Kenwood Titanium Chef Patissier XL KWL90,PARTIAL,96.451,True,62,6,25,2,1,0,0,[],0,0,9,0,0,2,0,,False,,{},,PARTIAL,71.762,False,152,9,28,4,2,0,0,[],0,0,3,0,0,2,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.353,,
16,ASUS RT-BE88U,PARTIAL,76.641,True,37,4,14,1,1,0,0,[],0,0,5,0,0,2,0,,False,,{},,PASS,67.82,False,10,1,3,4,3,1,1,['asus.com/us/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u'],0,0,0,1,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.05,asus.com/us/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u,
17,TP-Link Deco BE85,PARTIAL,76.361,True,139,10,20,6,2,0,0,[],0,0,5,0,0,1,0,,False,,{},,PARTIAL,48.134,False,95,10,17,5,5,0,0,[],0,0,1,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.252,,
18,Ubiquiti UniFi U7 Pro,PARTIAL,77.964,True,155,8,22,0,0,0,0,[],0,0,7,0,0,1,0,,False,,{},,PARTIAL,71.088,False,168,9,34,4,0,0,0,[],0,0,7,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.353,,
19,NETGEAR GS308EP,PARTIAL,42.04,False,45,10,11,4,4,0,0,[],0,0,0,0,0,0,0,,False,,{},,PARTIAL,29.613,False,44,10,11,4,4,0,0,[],0,0,0,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.0,,
20,Synology DS923+,PARTIAL,80.684,True,167,11,22,4,0,0,0,[],0,0,4,0,0,2,0,,False,,{},,PARTIAL,77.721,True,182,11,22,4,0,0,0,[],0,0,3,0,0,3,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.253,,
21,APC Back-UPS BX1600MI,PARTIAL,87.612,True,26,6,14,0,0,0,0,[],0,0,4,0,0,1,0,,False,,{},,PARTIAL,76.14,True,132,9,25,0,0,0,0,[],0,0,7,0,0,2,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.454,,
22,Logitech MX Keys S,PASS,25.95,False,3,3,4,3,3,1,1,['logitech.com/en-us/shop/p/mx-keys-s'],0,0,1,0,0,0,0,,False,,{},,PASS,17.405,False,3,3,4,3,3,1,1,['logitech.com/en-us/shop/p/mx-keys-s'],0,0,1,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.05,,
23,Razer DeathAdder V3,PASS,28.265,False,2,3,4,2,2,1,1,['razer.com/gaming-mice/razer-deathadder-v3'],0,0,1,0,0,0,0,,False,,{},,PASS,15.99,False,2,3,4,2,2,1,1,['razer.com/gaming-mice/razer-deathadder-v3'],0,0,1,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.05,,
24,SteelSeries Arctis Nova Pro Wireless,PARTIAL,70.081,False,129,9,26,4,4,0,0,[],0,0,3,1,0,1,0,,False,,{},,PARTIAL,73.207,False,156,9,30,4,0,0,0,[],0,0,6,0,0,1,0,,False,cleanup_exceeded_grace,"{""kind"": ""post_result_cleanup"", ""target"": """", ""stalled_seconds"": null}",2.006,,
25,Samsung Odyssey OLED G8 G80SD,PARTIAL,79.367,True,12,3,7,2,2,0,0,[],0,0,0,0,0,2,0,,False,,{},,PARTIAL,78.519,True,26,5,12,4,2,0,0,[],0,0,3,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.069,,
26,LG OLED evo C4,PARTIAL,108.272,True,151,8,28,4,4,0,0,[],0,0,5,0,0,1,0,,False,,{},,PARTIAL,70.33,False,159,8,40,4,4,0,0,[],0,0,8,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.303,,
27,Apple Mac mini M4,PARTIAL,79.975,True,45,6,11,4,0,0,0,[],0,0,2,0,0,2,0,,False,,{},,PARTIAL,75.918,True,105,11,27,4,0,0,0,[],0,0,5,0,0,2,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.252,,
28,Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition,PARTIAL,163.389,True,117,8,17,4,0,0,0,[],0,0,4,0,0,1,0,,False,,{},,PARTIAL,51.567,False,114,10,25,4,4,0,0,[],0,0,4,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.151,,
29,Epson EcoTank L6270,PARTIAL,104.455,True,55,6,16,3,0,0,0,[],0,0,5,0,0,2,0,,False,,{},,PASS,32.957,False,2,3,12,2,1,1,1,['epson.eu/en_eu/products/printers/inkjet/consumer/ecotank-l6270-multifunction-wi-fi-ink-tank-a4-printer%2c-with-up-to-3-years-of-ink-included/p/30259'],0,0,5,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",1.211,epson.eu/en_eu/products/printers/inkjet/consumer/ecotank-l6270-multifunction-wi-fi-ink-tank-a4-printer%2c-with-up-to-3-years-of-ink-included/p/30259,
30,Canon CanoScan LiDE 400,PARTIAL,82.712,True,42,6,13,4,0,0,0,[],0,0,3,0,0,2,0,,False,,{},,PARTIAL,75.991,True,157,13,30,4,0,0,0,[],0,0,3,2,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.656,,
31,WD My Passport 5TB,PARTIAL,137.576,True,110,8,28,0,0,0,0,[],0,0,6,0,0,1,0,,False,,{},,PARTIAL,43.939,False,137,8,33,0,0,0,0,[],0,0,8,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.302,,
32,Crucial T705,PARTIAL,110.443,True,90,11,24,4,0,0,0,[],0,0,6,0,0,2,0,,False,,{},,PARTIAL,27.424,False,86,10,17,3,3,0,0,[],0,0,2,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.202,,
33,Corsair RM850x,PASS,53.757,False,2,3,4,2,2,1,1,['corsair.com/ww/en/p/psu/cp-9020270-na/rmx-series-rm850x-fully-modular-power-supply-cp-9020270-na'],0,0,1,0,0,0,0,,False,,{},,PASS,20.015,False,2,3,4,2,2,1,1,['corsair.com/ww/en/p/psu/cp-9020270-na/rmx-series-rm850x-fully-modular-power-supply-cp-9020270-na'],0,0,1,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.051,,
34,ASUS TUF Gaming GeForce RTX 5070 Ti,FAIL,77.877,True,61,1,8,4,0,0,0,[],0,0,2,0,0,3,0,,False,,{},,PARTIAL,76.303,True,51,5,11,4,2,0,0,[],0,0,1,0,0,2,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.103,,
35,MSI MAG X870 TOMAHAWK WIFI,PARTIAL,146.763,True,96,8,19,4,0,0,0,[],0,0,5,0,0,1,0,,False,,{},,PARTIAL,47.973,False,119,9,26,4,0,0,0,[],0,0,3,8,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.562,,
36,DEWALT DCD805P2T,PARTIAL,86.08,True,34,5,11,1,1,0,0,[],0,0,3,0,0,3,0,,False,,{},,PARTIAL,73.287,False,111,10,18,1,1,0,0,[],0,0,3,0,0,2,0,,False,cleanup_exceeded_grace,"{""kind"": ""post_result_cleanup"", ""target"": """", ""stalled_seconds"": null}",2.044,,
37,Makita GA023GZ,FAIL,78.495,True,0,1,6,0,0,0,0,[],0,0,2,0,0,2,0,,False,,{},,PASS,59.746,False,10,3,5,2,1,1,1,['makita.co.nz/products/model/ga023gz'],0,0,0,2,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.109,makita.co.nz/products/model/ga023gz,
38,Milwaukee M18 FHX-502X,FAIL,214.61,True,0,1,2,0,0,0,0,[],0,0,0,0,0,1,0,,False,,{},,PARTIAL,77.344,True,49,6,17,0,0,0,0,[],0,0,4,0,0,3,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.424,,
39,Bosch Professional GCM 8 SJL,FAIL,115.442,True,0,1,3,0,0,0,0,[],0,0,0,0,0,2,0,,False,,{},,PARTIAL,76.165,True,103,8,16,2,2,0,0,[],0,0,2,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.354,,
40,Einhell TC-PL 750,FAIL,82.347,True,0,1,2,0,0,0,0,[],0,0,0,0,0,1,0,,False,,{},,PARTIAL,39.624,False,73,8,21,0,0,0,0,[],0,0,5,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.252,,
41,STIHL MS 182,FAIL,314.594,True,21,2,9,0,0,0,0,[],0,0,2,0,0,1,2,,False,,{},,PASS,20.291,False,3,3,4,1,1,1,1,['stihl.co.uk/en/p/chainsaws-ms-182-petrol-chainsaw-145794'],0,0,1,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.0,stihl.co.uk/en/p/chainsaws-ms-182-petrol-chainsaw-145794,
42,Husqvarna 525LK,PARTIAL,39.398,False,11,8,15,0,0,0,0,[],0,0,3,0,0,1,0,,False,,{},,PARTIAL,45.49,False,85,8,15,0,0,0,0,[],0,0,2,0,0,1,0,,False,cleanup_exceeded_grace,"{""kind"": ""post_result_cleanup"", ""target"": """", ""stalled_seconds"": null}",2.044,,
43,Frostbite Drench 39ML,PARTIAL,36.826,False,25,8,30,0,0,0,0,[],0,0,6,0,0,1,0,,False,,{},,PARTIAL,42.695,False,27,8,29,0,0,0,0,[],0,0,6,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.713,,
44,Nautilus X Series XL MAX,PARTIAL,55.44,False,39,9,36,0,0,0,0,[],0,0,7,0,0,1,0,,False,,{},,PARTIAL,70.225,False,80,9,33,0,0,0,0,[],0,0,8,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",1.808,,
45,Namazu Bionic 90 N41-90-52,PARTIAL,48.626,False,29,8,27,0,0,0,0,[],0,0,5,0,0,1,0,,False,,{},,FAIL,61.551,False,11,8,30,0,0,0,0,[],0,0,10,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",1.304,,
46,adidas Ultraboost 5 JH9073,PARTIAL,66.848,False,49,10,43,3,0,0,0,[],0,0,12,2,0,1,0,,False,,{},,PARTIAL,69.089,False,133,9,30,3,0,0,0,[],0,0,6,3,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",1.335,,
47,Nike AeroSwift FN4231-010,PASS,68.699,False,10,3,12,1,1,1,1,['nike.com/gb/t/aeroswift-mens-dri-fit-adv-running-vest-vsx0gdly/fn4231-010'],0,0,2,0,0,2,0,,False,,{},,PASS,74.358,False,25,2,10,1,1,1,1,['nike.com/dk/en/t/aeroswift-mens-dri-fit-adv-running-vest-vsx0gdly/fn4231-010'],0,0,4,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.523,nike.com/dk/en/t/aeroswift-mens-dri-fit-adv-running-vest-vsx0gdly/fn4231-010,nike.com/gb/t/aeroswift-mens-dri-fit-adv-running-vest-vsx0gdly/fn4231-010
48,The North Face Nuptse,PARTIAL,37.842,False,67,8,27,0,0,0,0,[],0,0,6,0,0,1,0,,False,,{},,PARTIAL,68.28,False,180,9,24,0,0,0,0,[],0,0,7,0,0,1,0,,False,cleanup_exceeded_grace,"{""kind"": ""post_result_cleanup"", ""target"": """", ""stalled_seconds"": null}",2.025,,
49,Oral-B iO Series 10,PASS,64.05,False,77,7,17,4,4,1,1,['oralb.com/en-us/products/electric-toothbrushes/io-series-10-rechargeable-electric-toothbrush-cosmic-black'],0,0,7,0,0,1,0,,False,,{},,PASS,53.35,False,16,4,6,4,4,1,1,['oralb.com/en-us/products/electric-toothbrushes/io-series-10-rechargeable-electric-toothbrush-cosmic-black'],0,0,1,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.05,,
50,CeraVe Hydrating Facial Cleanser,PASS,27.804,False,4,3,12,4,4,1,1,['cerave.com/skincare/cleansers/hydrating-facial-cleanser'],0,0,6,0,0,1,0,,False,,{},,PASS,29.909,False,4,3,9,4,4,1,1,['cerave.com/skincare/cleansers/hydrating-facial-cleanser'],0,0,3,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.453,,
